distance	shift	window_size_hrs	clust_metric	value	window_overlap_perc
CID	0	2	silhouette	0.324533478126472	0
CID	0	2	Calinkski-Harabasz	7847.66864361103	0
CID	0	2	entropy	1.04190378023179	0
CID	0	2	Dunn	1.61184373500682	0
CID	0	3.5	cluster	3	0
CID	0	3.5	totWSS	2401.32198281921	0
CID	0	3.5	totBSS/totSS	0.733871402430201	0
CID	0	3.5	silhouette	0.309546522167526	0
CID	0	3.5	Calinkski-Harabasz	3333.03616623956	0
CID	0	3.5	entropy	1.00254934803591	0
CID	0	3.5	Dunn	1.53303423633157	0
CID	0	3	cluster	3	0
CID	0	3	totWSS	2864.04112574397	0
CID	0	3	totBSS/totSS	0.744638210106024	0
CID	0	3	silhouette	0.304525603192473	0
CID	0	3	Calinkski-Harabasz	4212.67892044061	0
CID	0	3	entropy	1.0422254280546	0
CID	0	3	Dunn	1.48791043952083	0
CID	0	4	cluster	3	0
CID	0	4	totWSS	2013.05610747752	0
CID	0	4	totBSS/totSS	0.719228959454017	0
CID	0	4	silhouette	0.304749958880698	0
CID	0	4	Calinkski-Harabasz	2718.37807412488	0
CID	0	4	entropy	1.01337196793458	0
CID	0	4	Dunn	1.49350292680849	0
CID	0	5.5	cluster	3	0
CID	0	5.5	totWSS	771.30305053781	0
CID	0	5.5	totBSS/totSS	0.657612556904461	0
CID	0	5.5	silhouette	0.274058793052399	0
CID	0	5.5	Calinkski-Harabasz	848.471555342893	0
CID	0	5.5	entropy	1.02215434657022	0
CID	0	5.5	Dunn	1.38727344581748	0
CID	0	5	cluster	3	0
CID	0	5	totWSS	966.608349476745	0
CID	0	5	totBSS/totSS	0.675929661195499	0
CID	0	5	silhouette	0.285990702348046	0
CID	0	5	Calinkski-Harabasz	1105.9445132131	0
CID	0	5	entropy	0.999197532682143	0
CID	0	5	Dunn	1.46950189222633	0
CID	0	6	cluster	3	0
CID	0	6	totWSS	661.716196252569	0
CID	0	6	totBSS/totSS	0.640069398085001	0
CID	0	6	silhouette	0.261096238861199	0
CID	0	6	Calinkski-Harabasz	680.701233187451	0
CID	0	6	entropy	1.03048741594605	0
CID	0	6	Dunn	1.41005547649012	0
CID	105	3.5	cluster	3	50
CID	105	3.5	totWSS	4839.78501569543	50
CID	105	3.5	totBSS/totSS	0.734492210359079	50
CID	105	3.5	silhouette	0.306776439840397	50
CID	105	3.5	Calinkski-Harabasz	6852.79237795096	50
CID	105	3.5	entropy	1.01842491499416	50
CID	105	3.5	Dunn	1.49360903224682	50
CID	112	2.5	cluster	3	25
CID	112	2.5	totWSS	4772.77248586149	25
CID	112	2.5	totBSS/totSS	0.762962113230314	25
CID	112	2.5	silhouette	0.320741342329753	25
CID	112	2.5	Calinkski-Harabasz	7593.49468000144	25
CID	112	2.5	entropy	1.03234762832614	25
CID	112	2.5	Dunn	1.5575631128308	25
CID	120	4	cluster	3	50
CID	120	4	totWSS	3786.50096559529	50
CID	120	4	totBSS/totSS	0.719503592293434	50
CID	120	4	silhouette	0.296741404101603	50
CID	120	4	Calinkski-Harabasz	5067.87004284981	50
CID	120	4	entropy	1.02010078847852	50
CID	120	4	Dunn	1.45342255017163	50
CID	135	3	cluster	3	25
CID	135	3	totWSS	3785.43883699099	25
CID	135	3	totBSS/totSS	0.754010334496562	25
CID	135	3	silhouette	0.311726816343914	25
CID	135	3	Calinkski-Harabasz	5874.97664632993	25
CID	135	3	entropy	1.04731120627369	25
CID	135	3	Dunn	1.47597766609562	25
CID	150	5	cluster	3	50
CID	150	5	totWSS	2009.32125530285	50
CID	150	5	totBSS/totSS	0.674154414613974	50
CID	150	5	silhouette	0.280408373916507	50
CID	150	5	Calinkski-Harabasz	2317.7095372837	50
CID	150	5	entropy	1.01972250247583	50
CID	150	5	Dunn	1.42565941495332	50
CID	157	3.5	cluster	3	25
CID	157	3.5	totWSS	3156.76868774987	25
CID	157	3.5	totBSS/totSS	0.738485815947367	25
CID	157	3.5	silhouette	0.301859203122869	25
CID	157	3.5	Calinkski-Harabasz	4579.4273214192	25
CID	157	3.5	entropy	1.04195241016385	25
CID	157	3.5	Dunn	1.45374848859992	25
CID	165	5.5	cluster	3	50
CID	165	5.5	totWSS	1540.60584314921	50
CID	165	5.5	totBSS/totSS	0.649848727291902	50
CID	165	5.5	silhouette	0.267795447965992	50
CID	165	5.5	Calinkski-Harabasz	1641.12150964626	50
CID	165	5.5	entropy	1.02791846056697	50
CID	165	5.5	Dunn	1.39018474801795	50
CID	180	4	cluster	3	25
CID	180	4	totWSS	2358.84013706369	25
CID	180	4	totBSS/totSS	0.709741675513274	25
CID	180	4	silhouette	0.299119898862128	25
CID	180	4	Calinkski-Harabasz	3027.66482679705	25
CID	180	4	entropy	1.000578671694	25
CID	180	4	Dunn	1.47822184405373	25
CID	180	6	cluster	3	50
CID	180	6	totWSS	1118.20701762732	50
CID	180	6	totBSS/totSS	0.624649756882226	50
CID	180	6	silhouette	0.251671177319157	50
CID	180	6	Calinkski-Harabasz	1078.88553157045	50
CID	180	6	entropy	1.02335874016749	50
CID	180	6	Dunn	1.36282304204204	50
CID	225	5	cluster	3	25
CID	225	5	totWSS	1315.41750071373	25
CID	225	5	totBSS/totSS	0.667112463257486	25
CID	225	5	silhouette	0.272771682398693	25
CID	225	5	Calinkski-Harabasz	1476.45688192774	25
CID	225	5	entropy	1.02881323371243	25
CID	225	5	Dunn	1.41464784681218	25
CID	247	5.5	cluster	3	25
CID	247	5.5	totWSS	1070.82544102045	25
CID	247	5.5	totBSS/totSS	0.652029746707212	25
CID	247	5.5	silhouette	0.266291688132455	25
CID	247	5.5	Calinkski-Harabasz	1159.44846403621	25
CID	247	5.5	entropy	1.02946881351741	25
CID	247	5.5	Dunn	1.38420151417964	25
CID	270	6	cluster	4	25
CID	270	6	totWSS	641.585215358221	25
CID	270	6	totBSS/totSS	0.675845647609129	25
CID	270	6	silhouette	0.220632715447125	25
CID	270	6	Calinkski-Harabasz	572.300903223186	25
CID	270	6	entropy	1.19140840631514	25
CID	270	6	Dunn	1.24801552828042	25
CID	37	1.25	cluster	3	50
CID	37	1.25	totWSS	15889.3473084104	50
CID	37	1.25	totBSS/totSS	0.81169524374772	50
CID	37	1.25	silhouette	0.33902423309977	50
CID	37	1.25	Calinkski-Harabasz	30769.1364122752	50
CID	37	1.25	entropy	1.05574646614867	50
CID	37	1.25	Dunn	1.65030509511971	50
CID	37	2.5	cluster	3	75
CID	37	2.5	totWSS	14317.5949908514	75
CID	37	2.5	totBSS/totSS	0.766098937616491	75
CID	37	2.5	silhouette	0.314626433655605	75
CID	37	2.5	Calinkski-Harabasz	22993.1893706445	75
CID	37	2.5	entropy	1.04873878851739	75
CID	37	2.5	Dunn	1.50464362096175	75
CID	45	1.5	cluster	3	50
CID	45	1.5	totWSS	12743.1121092444	50
CID	45	1.5	totBSS/totSS	0.79962760344173	50
CID	45	1.5	silhouette	0.334029842172074	50
CID	45	1.5	Calinkski-Harabasz	23541.6824631147	50
CID	45	1.5	entropy	1.05418883625177	50
CID	45	1.5	Dunn	1.62452133604962	50
CID	45	3	cluster	3	75
CID	45	3	totWSS	11424.1904018007	75
CID	45	3	totBSS/totSS	0.748087512518117	75
CID	45	3	silhouette	0.30757600445783	75
